Code du département,Code de la commune,Code sexe,codesPostaux,population,zone,etiquette_politique,communes_voisines,resultats_votes,emploi_actifs,emploi_retraites,socio_pro,pauvrete_ensemble,natalite,mortalite,diplome_bac,diplome_bac5_plus
42,42095,M,42700,17128.0,metro,,,"{'LDVD': 53.45, 'LDVG': 36.71, 'LCOM': 9.82}",56.2,6.3,"{'Agriculteur': 0.1, 'Artisan, commerçant et chef d’entreprise': 6.3, 'Cadres': 13.2, 'Profession intermédiaire': 30.4, 'Employé': 30.7, 'Ouvrier': 19.4}",24.0,12.2,13.6,17.9,3.7
42,42147,M,42600,16098.0,metro,Divers droite,,"{'LDVD': 75.72, 'LDVG': 24.27}",68.3,7.2,"{'Agriculteur': 0.2, 'Artisan, commerçant et chef d’entreprise': 7.2, 'Cadres': 12.6, 'Profession intermédiaire': 29.0, 'Employé': 31.1, 'Ouvrier': 19.9}",14.0,9.0,11.6,18.5,7.2
42,42184,M,42153,11034.0,metro,Parti socialiste,42300,"{'LSOC': 61.89, 'LDVD': 38.1}",68.2,7.7,"{'Agriculteur': 0.2, 'Artisan, commerçant et chef d’entreprise': 7.1, 'Cadres': 10.0, 'Profession intermédiaire': 26.0, 'Employé': 27.4, 'Ouvrier': 29.4}",11.0,8.9,11.3,18.1,6.4
42,42186,M,42800,15457.0,metro,Divers gauche,,"{'LDVG': 44.62, 'LDVD': 40.56, 'LDVC': 14.8}",59.1,5.1,"{'Agriculteur': 0.2, 'Artisan, commerçant et chef d’entreprise': 7.6, 'Cadres': 10.9, 'Profession intermédiaire': 27.5, 'Employé': 35.8, 'Ouvrier': 18.0}",23.0,14.5,9.8,17.5,4.4
42,42187,M,42300,35364.0,metro,Divers droite,42153,"{'LDVD': 59.04, 'LDVG': 17.41, 'LREM': 5.93}",56.9,6.2,"{'Agriculteur': 0.2, 'Artisan, commerçant et chef d’entreprise': 5.9, 'Cadres': 14.8, 'Profession intermédiaire': 30.2, 'Employé': 27.8, 'Ouvrier': 21.1}",25.0,11.0,12.4,16.8,6.7
42,42207,M,42400,35586.0,metro,,,"{'LDVD': 58.91, 'LDVG': 13.51, 'LRN': 13.0, 'LVEC': 10.87, 'LFI': 1.92, 'LEXG': 1.76}",61.4,5.7,"{'Agriculteur': 0.2, 'Artisan, commerçant et chef d’entreprise': 7.6, 'Cadres': 13.2, 'Profession intermédiaire': 27.1, 'Employé': 31.0, 'Ouvrier': 21.0}",21.0,11.8,11.1,17.6,6.2
42,42218,M,"42000,42100,42230",172569.0,metro,Divers droite,,"{'LDVD': 58.91, 'LDVG': 41.08}",55.2,4.4,"{'Agriculteur': 0.1, 'Artisan, commerçant et chef d’entreprise': 5.8, 'Cadres': 19.9, 'Profession intermédiaire': 29.8, 'Employé': 27.3, 'Ouvrier': 17.2}",28.0,12.8,10.4,16.7,10.4
42,42279,M,42170,15579.0,metro,Divers droite,42160,"{'LDVD': 72.67, 'LDVG': 27.32}",72.4,7.1,"{'Agriculteur': 1.0, 'Artisan, commerçant et chef d’entreprise': 9.5, 'Cadres': 11.6, 'Profession intermédiaire': 27.6, 'Employé': 29.0, 'Ouvrier': 21.4}",7.0,9.6,15.5,16.7,11.5
43,43157,M,43000,18989.0,metro,Union de la droite,,"{'LUD': 55.25, 'LUG': 27.8, 'LUC': 16.94}",61.8,6.8,"{'Agriculteur': 0.3, 'Artisan, commerçant et chef d’entreprise': 5.8, 'Cadres': 15.4, 'Profession intermédiaire': 33.9, 'Employé': 32.4, 'Ouvrier': 12.2}",21.0,9.2,13.7,19.1,9.7
44,44003,M,44150,11346.0,metro,,,"{'LDVG': 58.5, 'LDVC': 41.49}",66.6,7.3,"{'Agriculteur': 0.4, 'Artisan, commerçant et chef d’entreprise': 3.2, 'Cadres': 15.8, 'Profession intermédiaire': 27.2, 'Employé': 21.7, 'Ouvrier': 31.7}",13.0,8.6,9.3,16.8,9.0
44,44015,M,44130,10352.0,metro,Divers Centre,,"{'LDVC': 41.85, 'LDVG': 40.48, 'LDVD': 17.66}",70.0,6.7,"{'Agriculteur': 1.8, 'Artisan, commerçant et chef d’entreprise': 5.3, 'Cadres': 13.2, 'Profession intermédiaire': 28.5, 'Employé': 34.9, 'Ouvrier': 16.4}",,10.4,10.1,18.1,5.3
44,44020,F,44340,20590.0,metro,Divers Centre,,"{'LDVC': 52.93, 'LDVG': 47.06}",70.3,6.3,"{'Agriculteur': 0.1, 'Artisan, commerçant et chef d’entreprise': 3.8, 'Cadres': 23.8, 'Profession intermédiaire': 31.5, 'Employé': 20.2, 'Ouvrier': 20.6}",11.0,13.1,7.7,18.9,10.1
44,44026,F,44470,20535.0,metro,Divers droite,44980,"{'LDVD': 6.26, 'LDVC': 26.8, 'LUG': 12.62}",68.2,5.7,"{'Agriculteur': 0.4, 'Artisan, commerçant et chef d’entreprise': 3.6, 'Cadres': 26.5, 'Profession intermédiaire': 27.9, 'Employé': 17.0, 'Ouvrier': 24.6}",6.0,8.8,7.5,16.2,19.6
44,44035,M,44240,20483.0,metro,,"44119,44700","{'LUG': 55.69, 'LDVC': 44.3}",72.0,5.9,"{'Agriculteur': 0.2, 'Artisan, commerçant et chef d’entreprise': 3.9, 'Cadres': 33.3, 'Profession intermédiaire': 30.5, 'Employé': 20.0, 'Ouvrier': 12.1}",7.0,9.6,6.3,16.5,19.9
44,44036,M,44110,12231.0,metro,Divers droite,,"{'LDVD': 61.71, 'LDVG': 23.09, 'LDVC': 15.18}",62.0,8.6,"{'Agriculteur': 0.4, 'Artisan, commerçant et chef d’entreprise': 4.6, 'Cadres': 11.3, 'Profession intermédiaire': 26.3, 'Employé': 27.1, 'Ouvrier': 30.2}",18.0,8.0,12.1,15.5,5.8
44,44047,F,44220,23541.0,metro,Union de la gauche,,"{'LUG': 53.25, 'LDVC': 26.03, 'LDVG': 20.71}",73.4,6.1,"{'Agriculteur': 0.6, 'Artisan, commerçant et chef d’entreprise': 7.1, 'Cadres': 18.1, 'Profession intermédiaire': 28.1, 'Employé': 21.4, 'Ouvrier': 24.7}",9.0,11.8,6.5,18.6,10.5
44,44055,M,44500,16613.0,metro,Union de la droite,44380,"{'LUD': 48.06, 'LREM': 41.77, 'LUG': 10.15}",66.0,10.4,"{'Agriculteur': 0.2, 'Artisan, commerçant et chef d’entreprise': 13.6, 'Cadres': 15.8, 'Profession intermédiaire': 23.7, 'Employé': 30.9, 'Ouvrier': 15.8}",8.0,5.7,16.8,17.9,14.9
44,44069,M,44350,16684.0,metro,Divers droite,44500,"{'LDVD': 47.14, 'LVEC': 27.05, 'LDVC': 7.27}",71.2,8.9,"{'Agriculteur': 2.5, 'Artisan, commerçant et chef d’entreprise': 8.8, 'Cadres': 12.5, 'Profession intermédiaire': 23.7, 'Employé': 30.3, 'Ouvrier': 22.3}",8.0,8.1,9.7,19.2,10.0
